"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@ronmarz very true. #sad",FALSE,0,"ronmarz",2016-02-21 23:59:15,FALSE,"701554388473663488","701556824802271232","45052430","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JenniferLMeyer",0,FALSE,FALSE,NA,NA
"2","RT @steelkat555: I'm notorious for burning pancakes when I cook alone because I get distracted. This morning was no exception.  #sad https:…",FALSE,0,NA,2016-02-21 23:54:08,FALSE,NA,"701555535682871296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","quatzal",1,TRUE,FALSE,NA,NA
"3","It was black silk too.. #sad",FALSE,0,NA,2016-02-21 23:52:30,FALSE,NA,"701555122589962241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DigitalFeels",0,FALSE,FALSE,NA,NA
"4","@AlexCSinger16 @McSquirmishes @XPravdaX @YouTube this is coordinated
They started saying this shirt a few days before NV Caucasus
#sad",FALSE,0,"AlexCSinger16",2016-02-21 23:51:58,FALSE,"701519272829267968","701554989169188864","4183971489","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LizardTrump",0,FALSE,FALSE,NA,NA
"5","When trials come and they seem so hard to bear. Yes Jesus knows what your going through... #sad",FALSE,0,NA,2016-02-21 23:51:05,FALSE,NA,"701554769639256064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shaneil_hutton",0,FALSE,FALSE,NA,NA
"6","I need a life, I've been in bed watching #Netflix for nearly 9 hours! #sad #needalife",FALSE,1,NA,2016-02-21 23:48:11,FALSE,NA,"701554039062970368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EmilyHigginsx",0,FALSE,FALSE,NA,NA
"7","@AdamSilvera I Can't believe that I miss that chance #sad",FALSE,0,"AdamSilvera",2016-02-21 23:47:46,FALSE,"701550073579225091","701553931323883521","329495717","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BlogRe_View",0,FALSE,FALSE,NA,NA
"8","I'm hoping the cyclist(s) hit by a car on Hwy 36 are OK.  The bike(s) were an almost unidentifiable crumpled mass on the shoulder.  #sad.",FALSE,0,NA,2016-02-21 23:47:02,FALSE,NA,"701553747630039040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mattotrek",0,FALSE,FALSE,NA,NA
"9","Kylie Jenner is 18 years old &amp;&amp; she has more money now than I'll ever make in a lifetime #sad",FALSE,0,NA,2016-02-21 23:45:18,FALSE,NA,"701553311594360832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","beccataylor24",0,FALSE,FALSE,NA,NA
"10","@courttwilliams awe I don't get to see you at gym <ed><U+00A0><U+00BD><ed><U+00B8><U+00B0> #sad",FALSE,1,"courttwilliams",2016-02-21 23:44:47,FALSE,"701552545609732097","701553183609458688","553112678","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lindsayschuu",0,FALSE,FALSE,NA,NA
"11","How To Draw a #Floral #Umbrella #Dontbesad #sad #heppiness #Sadness #nature #how #sketch #sketching #happy #youtube #YoutubeChannel #photo …",FALSE,0,NA,2016-02-21 23:44:38,FALSE,NA,"701553145487433728",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","dontbesaddont",0,FALSE,FALSE,NA,NA
"12","RT @flova333: Going from California back to Utah is like being in the normal part of Costco and then walking into the vegetable/fruit fridg…",FALSE,0,NA,2016-02-21 23:43:36,FALSE,NA,"701552884597436416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amychap2016",2,TRUE,FALSE,NA,NA
"13","They will B

Just wait

&amp;Look how much we just want them inThe sameDANGroom 2gether @The100writers
#Sad #Clarktavia  https://t.co/Av55Nu3KVK",FALSE,0,NA,2016-02-21 23:43:31,FALSE,NA,"701552863609274374",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Clarketaviaa",0,FALSE,FALSE,NA,NA
"14","RT @x_WifeyyTypee: Booah Smh #Sad https://t.co/SpBfVb8NlE",FALSE,0,NA,2016-02-21 23:43:31,FALSE,NA,"701552861688287232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheyHateSD",1,TRUE,FALSE,NA,NA
"15","Booah Smh #Sad https://t.co/SpBfVb8NlE",FALSE,0,NA,2016-02-21 23:43:20,FALSE,NA,"701552817513705474",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x_WifeyyTypee",1,FALSE,FALSE,NA,NA
"16","Now playing  :  Helen Jane Long - "" Intervention"" on

https://t.co/8LVDOL0B1j

#sadmusic #sadsong #sad",FALSE,0,NA,2016-02-21 23:42:46,FALSE,NA,"701552673254936576",NA,"<a href=""http://share.radionomy.com"" rel=""nofollow"">Share.Radionomy.com</a>","SadPianoMusic",0,FALSE,FALSE,NA,NA
"17","Governor John Kasich Signs Ohio Bill to Cut Planned Parenthood Funding - NBC News #sad  https://t.co/7uMxWZsO7e",FALSE,1,NA,2016-02-21 23:42:31,FALSE,NA,"701552610403160064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","juliebrown222",1,FALSE,FALSE,NA,NA
"18","I'd do anything to distract my heart. #quotes #sad #sadquotes #love #lovequotes #heartbreak #heartbroken #relations… https://t.co/8amxjVQEz8",FALSE,1,NA,2016-02-21 23:41:36,FALSE,NA,"701552383072018432",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","baracinta15",0,FALSE,FALSE,NA,NA
"19","Studying #sad",FALSE,0,NA,2016-02-21 23:41:07,FALSE,NA,"701552257733681152",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","MetalicaEsLaLuz",0,FALSE,FALSE,NA,NA
"20","Some bitches has no self hygiene. #sad<ed><U+00A0><U+00BD><ed><U+00B8><U+00AA>",FALSE,0,NA,2016-02-21 23:40:18,FALSE,NA,"701552053051650048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ballerking11",0,FALSE,FALSE,NA,NA
"21","RT @flova333: Going from California back to Utah is like being in the normal part of Costco and then walking into the vegetable/fruit fridg…",FALSE,0,NA,2016-02-21 23:38:56,FALSE,NA,"701551709168906240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emilyharris04",2,TRUE,FALSE,NA,NA
"22","That is one of the most frightening images ever. #sad  https://t.co/UtcAV9KqR2",FALSE,0,NA,2016-02-21 23:38:43,FALSE,NA,"701551654575824896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ProfessorDNA",0,FALSE,FALSE,NA,NA
